Unnamed: 0,feels like…,category,auto_metaphorical_label,auto_metaphor_subtypes
SURVEY,with barbwire ,uncategorized,,
SURVEY,a pressure or soreness with stabs of pain in the uterus area. ,sensory,metaphorical,violence_with_object
SURVEY,something is shuddering inside,uncategorized,,
SURVEY,someone has shoved a sword or a poker into me jabbing away. ,uncategorized,,
SURVEY,when a cat steps on your full bladder but heavier and you don't need a wee.,uncategorized,,
SURVEY,an elephant is sitting on my abdomen sometimes,uncategorized,,
SURVEY,"a toxic, flesh-eating pufferfish ",uncategorized,,
SURVEY,"pulsating inside me,",uncategorized,,
SURVEY, scraping away at me. ,sensory,,
SURVEY,an army of molten spiders are strolling around ,uncategorized,metaphorical,heat_temperature
SURVEY,an army of molten spiders are strolling around ,uncategorized,metaphorical,heat_temperature
SURVEY,an army of molten spiders are strolling around ,uncategorized,metaphorical,heat_temperature
SURVEY, with flame torches closely examining the damage on the walls of my womb.,uncategorized,,
SURVEY,labor ,uncategorized,metaphorical,childbirth
SURVEY,being stabbed repeatedly.,uncategorized,metaphorical,violence_with_object
SURVEY,being crushed.,uncategorized,metaphorical,"violent_action, weight_pressure"
SURVEY,someone has a hold of your pelvis/cervix and are pulling really hard.,uncategorized,metaphorical,"violent_action, confinement"
SURVEY,"I'm being stabbed,",uncategorized,metaphorical,violence_with_object
SURVEY, ripped apart,uncategorized,metaphorical,violent_action
SURVEY, punched all at once. ,uncategorized,,
SURVEY,It burns like the skin is being pulled away.,uncategorized,metaphorical,"violent_action, heat_temperature"
SURVEY,someone is stabbing me. ,sensory,metaphorical,violence_with_object
SURVEY,someone is pushing down hard and not letting up.  ,uncategorized,metaphorical,childbirth
SURVEY,someone stabbing me repeatedly ,sensory,metaphorical,violence_with_object
SURVEY,someone is squeezing my muscles and nerves and not letting go. ,sensory,,
SURVEY,my insides are being ripped apart,uncategorized,metaphorical,violent_action
SURVEY,"a bolt of lightning, shoots up my spine when trying to pass bowel movements",uncategorized,metaphorical,"weather, motion_forceful"
SURVEY,when a car I'm in goes over a bump (or even just a non-paved road). ,uncategorized,metaphorical,journey
SURVEY,someone with red hot pokers for fingers,sensory,,
SURVEY, dug into my lower abdomen and ,uncategorized,,
SURVEY, is trying to pull my insides out through my vagina.,uncategorized,metaphorical,violent_action
SURVEY,"I'm being cut, over and over again in my stomach ",uncategorized,,
SURVEY,I have loads of gnawing teeth inside trying to eat there way out. ,sensory,metaphorical,weight_pressure
SURVEY,I am about to give birth to my internal organs.,uncategorized,metaphorical,childbirth
SURVEY,something has burst and,uncategorized,,
SURVEY, it's destroying everything,uncategorized,,
SURVEY, as it spreads,uncategorized,metaphorical,"illness, organic_entity"
SURVEY,someone's slowly trying to rip my organs out,uncategorized,metaphorical,violent_action
SURVEY,my insides are wrapped in red-hot,sensory,,
SURVEY, barbed wire. ,uncategorized,,
SURVEY,I'm being stabbed in the stomach ,uncategorized,metaphorical,violence_with_object
SURVEY,or someone is grabbing my insides,uncategorized,,
SURVEY,red hot pokers inside my tummy ,sensory,,
SURVEY,being twisted constantly ,uncategorized,metaphorical,violent_action
SURVEY,"I did a million crunches, ",uncategorized,,
SURVEY,and like i haven't slept for days ,uncategorized,,
SURVEY,"Everything feels angry, ",uncategorized,,
SURVEY,and on fire. ,metaphorical,metaphorical,heat_temperature
SURVEY,Like barbed wire.,uncategorized,,
SURVEY,there's an alien trying to get out of me.   ,uncategorized,,
SURVEY,a skewer ,uncategorized,,
SURVEY,has been pushed inside of me ,uncategorized,metaphorical,childbirth
SURVEY,"and speared through my ovaries, uterus etc. ",uncategorized,metaphorical,violence_with_object
SURVEY,being tattooed on the inside.,uncategorized,,
SURVEY,Some scratching my insides,uncategorized,,
SURVEY,a knife was piercing it.,"sensory, metaphorical",metaphorical,violence_with_object
SURVEY,being stabbed with safety scissors from the inside ,uncategorized,metaphorical,violence_with_object
SURVEY,you just ran a marathon and need to lie down. ,uncategorized,,
SURVEY,Sometimes it feels like a hot poker ,sensory,"metaphorical, simile",
SURVEY,or barbed wire is inside,uncategorized,,
SURVEY,a charly horse ,uncategorized,,
SURVEY,an elephant is sitting on my back or stomach,uncategorized,,
SURVEY,I'm pregnant. ,uncategorized,,
SURVEY,a wash cloth being rung out over and over again,uncategorized,,
SURVEY,a hot poker ,sensory,,
SURVEY,is being drilled through me. ,uncategorized,metaphorical,violence_with_object
SURVEY,a sharp rod is being forced into my rectum. ,sensory,,
SURVEY,I'm being turned inside out. ,uncategorized,,
SURVEY,something inside will burst/rupture. ,uncategorized,,
SURVEY,my pelvic area is always heavy.,temporal,metaphorical,weight_pressure
SURVEY,blisters  ,uncategorized,,
SURVEY,Braxton Hicks contractions,uncategorized,metaphorical,childbirth
SURVEY,all over body pain when inflamed,uncategorized,metaphorical,illness
SURVEY,my lower back and stomach is trying to break free from the rest of my body,uncategorized,metaphorical,"violent_action, injury"
SURVEY,being stabbed with a rusty ice pick,metaphorical,metaphorical,"violence_with_object, heat_temperature"
SURVEY,my intestines were being tugged out of my anus when I had my period ,uncategorized,,
SURVEY,Freddy kugker playing hockey in my stomach. ,uncategorized,,
SURVEY,hockey in my stomach. ,uncategorized,,
SURVEY,I'm trying to give birth to my spine ,uncategorized,metaphorical,childbirth
SURVEY,my insides are battling between themselves ,uncategorized,metaphorical,conflict
SURVEY,using sharp tools. ,sensory,,
SURVEY,somebody is strangling my womb,uncategorized,,
SURVEY,"I become possessed by pain, like I am someone else that takes possession of my usual self",uncategorized,,
SURVEY,I am outside my body and my consciousness ,uncategorized,,
SURVEY,my uterus/bowel is being squeezed inside a Panini press. ,uncategorized,metaphorical,weight_pressure
SURVEY, And sometimes it feels like the panini press have spikes attached,uncategorized,"metaphorical, simile",weight_pressure
SURVEY,someone slowly stretching me apart some days,uncategorized,,
SURVEY,everything is dragging ,uncategorized,,
SURVEY,and going to fall out of me. ,uncategorized,,
SURVEY,my ovaries are at war with each other ,uncategorized,metaphorical,conflict
SURVEY,Barbed wire and,uncategorized,,
SURVEY,a red hot poker up inside.,sensory,,
SURVEY,someone is smashing me with a hammer and glass,metaphorical,metaphorical,violent_action
SURVEY, and glass,uncategorized,,
SURVEY,someone is stabbing me in the vagina ,sensory,metaphorical,violence_with_object
SURVEY,with a hot poker. ,sensory,,
SURVEY,a concrete block in my stomach weighing me down. ,uncategorized,,
SURVEY,I have  ball in blown up inside my stomach that's ready to burst ,uncategorized,,
SURVEY,balloon,uncategorized,,
SURVEY, has gathered weight and is about to fall out through my bum.  ,metaphorical,metaphorical,weight_pressure
SURVEY,It feels like a hot poker is sitting off them .,sensory,"metaphorical, simile",
SURVEY,there's an iron bar put up through me. ,uncategorized,metaphorical,confinement
SURVEY,a ball of pressure ,sensory,,
SURVEY,someone stabbing ,sensory,metaphorical,violence_with_object
SURVEY,and cutting my stomach out and body up in 10 pieces.,uncategorized,,
SURVEY,seriously hot water dripping inside me ,sensory,,
SURVEY, and burning,sensory,metaphorical,heat_temperature
SURVEY,your insides are ripped out and,uncategorized,metaphorical,violent_action
SURVEY, and turned around,uncategorized,,
SURVEY,someone poured petrol on me and set me on fire. ,metaphorical,metaphorical,heat_temperature
SURVEY,Someone took a sharp kitchen knife and stabbed me repeatedly in the groin/pelvis. ,"sensory, metaphorical",metaphorical,violence_with_object
SURVEY,Someone took a red hot poker ,sensory,,
SURVEY,and ripped open my section scar repeatedly.  ,uncategorized,metaphorical,"violent_action, injury"
SURVEY,something is eating me from the inside out.  ,uncategorized,,
SURVEY,A pain that radiates outwards ,uncategorized,metaphorical,motion_forceful
SURVEY,"makes me nauseated, dizzy and dissociated from my body.  ",uncategorized,,
SURVEY,my organs are trying to birth themselves through various orrifices. ,uncategorized,metaphorical,childbirth
SURVEY,someone took my insides and stepped on them threw them around rode a bike over them and then put back in my body. ,uncategorized,,
SURVEY,someone is stabbing me the whole time ,sensory,metaphorical,violence_with_object
SURVEY,I'm being squeezed by a cobra or some big snake and can't move until it loosens up. ,uncategorized,metaphorical,motion_forceful
SURVEY,a bruised feeling.,uncategorized,metaphorical,injury
SURVEY,tiny blisters on the inside of my body that I would do anything to take out,uncategorized,,
SURVEY,something has ruptured,uncategorized,,
SURVEY,it has come back with a Vengeance to Derail me. ,uncategorized,,
SURVEY,someone is grabbing my intestines and ,uncategorized,,
SURVEY,squeezing/,sensory,,
SURVEY,twisting them.  ,uncategorized,metaphorical,violent_action
SURVEY,carpet burns all over my insides.  ,uncategorized,metaphorical,heat_temperature
SURVEY,"I have food poisoning, but I know it isn't, it is just morning with bowel endo.  ",uncategorized,metaphorical,illness
SURVEY,your insides are going to fall out.,uncategorized,,
SURVEY,there is a spikey ball rattling around heading off things. ,uncategorized,metaphorical,attacking_agents
SURVEY,Like someone is pulling on my belly button from the inside.,uncategorized,metaphorical,violent_action
SURVEY,a dentist is picking at plaque ,uncategorized,,
SURVEY,there is a knife scraping at my insides.,"sensory, metaphorical",metaphorical,violence_with_object
SURVEY,a hot poker has been inserted inside of me and ,sensory,,
SURVEY,being waved all about and ,uncategorized,metaphorical,weather
SURVEY,and stabbing areas at random.,sensory,metaphorical,violence_with_object
SURVEY,"you have been hit by a car, ",uncategorized,,
SURVEY, you're internally bruised but nothing to show of it.,uncategorized,metaphorical,injury
SURVEY,When I have a bowel motion it feels like passing broken glass. ,uncategorized,"metaphorical, simile",
SURVEY,When I have period pain it feels like someone is stabbing me in the pelvis with a knife.,"sensory, metaphorical","metaphorical, simile",violence_with_object
SURVEY,someone has a knife and is stabbing me up my back passage. ,"sensory, metaphorical",metaphorical,violence_with_object
SURVEY,something is constantly tugging on my left ovary ,uncategorized,,
SURVEY,toothache but throughout my abdomen.,uncategorized,,
SURVEY,Sometimes being kicked or ,uncategorized,,
SURVEY, or something being forcefully jammed in the vagina.,uncategorized,,
SURVEY,having an awful bruise that is continually irritated and won't heal.,uncategorized,metaphorical,injury
SURVEY, At times the ache is sharper,uncategorized,,
SURVEY,something is clenching and ,uncategorized,,
SURVEY,and yanking my whole abdomen,uncategorized,,
SURVEY,It feels like there is a broken G as bottle ,uncategorized,"metaphorical, simile",
SURVEY, getting poked ,uncategorized,,
SURVEY,and scrapped around my pelvis.  ,uncategorized,,
SURVEY,Sharp metal grinding against itself,sensory,,
SURVEY, cogs or machine parts. ,uncategorized,,
SURVEY, Waves of,uncategorized,metaphorical,weather
SURVEY, pulsating pain.,uncategorized,,
SURVEY, Eruptions.,uncategorized,,
SURVEY,my inner organs are being flayed,uncategorized,,
