Unnamed: 0,feels like…,category,metaphorical_label
SOCIAL MEDIA,"a violent, sporadic, samurai sword massacre in & around your delicates. ",uncategorized,
SOCIAL MEDIA,a ninja is cutting apart my insides ,uncategorized,
SOCIAL MEDIA,a swarm of angry european wasps invade your uterus,uncategorized,
SURVEY,my uterus and other pelvic organs are trying to claw their way out.  ,uncategorized,
SURVEY,Sometimes using a white hot poker. ,sensory,
SURVEY,Uterus will feel heavy,uncategorized,Metaphorical (weight_pressure)
SURVEY,you peeled a grape and the remaining flesh is painful,uncategorized,
SURVEY,waves of cramp,uncategorized,
SURVEY,my internal organs have been pulverized,uncategorized,
SURVEY,I am in labour but without having a break between contractions,uncategorized,Metaphorical (childbirth)
SURVEY,my organs are going to fall out of my vagina,uncategorized,
SURVEY,something is bursting to get out.,uncategorized,
SURVEY,someone has stabbed me in the stomach,uncategorized,
SURVEY,my insides are being rung out,uncategorized,
SURVEY,my insides are twisting ,uncategorized,Metaphorical (violent_action)
SURVEY,when I walk then ripping inside me,uncategorized,Metaphorical (violent_action)
SURVEY,Insides falling out ,uncategorized,
SURVEY,while on fire ,metaphorical,Metaphorical (heat_temperature)
SURVEY,with acid.,uncategorized,
SURVEY,someone is just slowly sinking burning things into me,sensory,"Metaphorical (weight_pressure, heat_temperature)"
SURVEY,and twisting them around and around. ,uncategorized,Metaphorical (violent_action)
SURVEY," I'm carrying knives in my uterus, and if I bend over I'm stabbed deeper",uncategorized,
SURVEY,there's a demon inside trying to claw it's way out.,uncategorized,Metaphorical (attacking_agents)
SURVEY,a stitch I got years ago. ,uncategorized,
SURVEY,lots of needles cramping up inside of my pelvis,sensory,
SURVEY,somebody is pulling your pelvic down so strongly,uncategorized,Metaphorical (violent_action)
SURVEY,sharp knives or ,sensory,
SURVEY,an electric shock playing in the pelvic area.,sensory,
SURVEY,"Glass shards,",uncategorized,
SURVEY, electric shocks,sensory,
SURVEY,someone is twisting my insides and won't let their grip go. ,metaphorical,Metaphorical (violent_action)
SURVEY,It's a warm feeling the spreads throughout the back and abdomen.,uncategorized,Metaphorical (attacking_agents)
SURVEY,someone is ripping my insides out ,uncategorized,Metaphorical (violent_action)
SURVEY,with barbwire ,uncategorized,
SURVEY,a pressure or soreness with stabs of pain in the uterus area. ,sensory,
SURVEY,something is shuddering inside,uncategorized,
SURVEY,someone has shoved a sword or a poker into me jabbing away. ,uncategorized,
SURVEY,when a cat steps on your full bladder but heavier and you don't need a wee.,uncategorized,
SURVEY,an elephant is sitting on my abdomen sometimes,uncategorized,
SURVEY,"a toxic, flesh-eating pufferfish ",uncategorized,
SURVEY,"pulsating inside me,",uncategorized,
SURVEY, scraping away at me. ,sensory,
SURVEY,an army of molten spiders are strolling around ,uncategorized,Metaphorical (heat_temperature)
SURVEY,an army of molten spiders are strolling around ,uncategorized,Metaphorical (heat_temperature)
SURVEY,an army of molten spiders are strolling around ,uncategorized,Metaphorical (heat_temperature)
SURVEY, with flame torches closely examining the damage on the walls of my womb.,uncategorized,
SURVEY,labor ,uncategorized,Metaphorical (childbirth)
SURVEY,being stabbed repeatedly.,uncategorized,
SURVEY,being crushed.,uncategorized,
SURVEY,someone has a hold of your pelvis/cervix and are pulling really hard.,uncategorized,Metaphorical (violent_action)
SURVEY,"I'm being stabbed,",uncategorized,
SURVEY, ripped apart,uncategorized,
SURVEY, punched all at once. ,uncategorized,
SURVEY,It burns like the skin is being pulled away.,uncategorized,Metaphorical (attacking_agents)
SURVEY,someone is stabbing me. ,sensory,Metaphorical (violence_with_object)
SURVEY,someone is pushing down hard and not letting up.  ,uncategorized,Metaphorical (childbirth)
SURVEY,someone stabbing me repeatedly ,sensory,Metaphorical (violence_with_object)
SURVEY,someone is squeezing my muscles and nerves and not letting go. ,sensory,
SURVEY,my insides are being ripped apart,uncategorized,
