feels like…,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
a hot poker has been inserted inside of me and ,,[],['sensory'],sensory,
being waved all about and ,metaphorical,['weather'],[],,
"you have been hit by a car, ",,[],[],,
 you're internally bruised but nothing to show of it.,metaphorical,['injury'],[],,
When I have a bowel motion it feels like passing broken glass. ,simile,[],[],,
something is constantly tugging on my left ovary ,,[],['temporal'],temporal,
toothache but throughout my abdomen.,,[],[],,
Sometimes being kicked or ,,[],[],,
 or something being forcefully jammed in the vagina.,,[],[],,
having an awful bruise that is continually irritated and won't heal.,metaphorical,['injury'],[],,
 At times the ache is sharper,,[],[],,medium
something is clenching and ,,[],[],,
and yanking my whole abdomen,,[],[],,
It feels like there is a broken G as bottle ,simile,[],[],,
 getting poked ,,[],[],,
and scrapped around my pelvis.  ,,[],[],,
Sharp metal grinding against itself,,[],[],,medium
 cogs or machine parts. ,,[],[],,
 Waves of,metaphorical,['weather'],[],,
 pulsating pain.,,[],['sensory'],sensory,
 Eruptions.,,[],[],,
my inner organs are being flayed,,[],[],,
like a sharp knife in inserted and twisted in my womb,simile,"['violence_with_object', 'violent_action']",[],,medium
like a lightening,simile,[],[],,low
like a sudden deadly tearing and ripping,simile,"['injury', 'violent_action']",['temporal'],temporal,
