feels like…,category,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
a knife jabbed in your stomach,metaphorical,,[],[],,
I feel chained down by my flesh prison,metaphorical,,[],[],,
being gutted by an invisible knife for 5 days,metaphorical,,[],[],,
someone is squeezing or,sensory,,[],[],,
jabbing my womb and at times like my womb is trying to pull away from my body,uncategorized,,[],[],,
a rake or a cheese grater is scraping my insides,sensory,,[],[],,
like my abdomen is filed with blood and could burst open,uncategorized,,[],[],,
a heavy weight in your pelvis & upper legs is puling you down,metaphorical,,[],[],,
my insides are being ripped apart when i walk ,uncategorized,,[],[],,
knitting needles being pushed through your abdomen,uncategorized,,[],[],,
if I move I'll rip,uncategorized,,[],[],,
there's a balloon inflated inside me ,uncategorized,,[],[],,
 squashing everything and putting pressure on my bladder and other organs,sensory,,[],[],,
A t-rex has been unleashed on my insides,uncategorized,,[],[],,
a vice is gripping my insides and if I move the vice gets tighter,uncategorized,,[],['sensory'],sensory,medium
my insides are swollen and trying to escape,uncategorized,,[],[],,
a hedgehog is running around my uterus,uncategorized,,[],[],,
I just want to rip my insides out,uncategorized,,[],[],,
there's a hot coal rollin around in my uterus,sensory,,[],['sensory'],sensory,
my internal organs try to strangle each other,uncategorized,,[],[],,
My insides are on fire.,metaphorical,,[],['sensory'],sensory,
I'm not just under the weather. I'm the Wicked Witch of the East UNDER the house the weather threw at me,uncategorized,,[],['affective'],affective,
"a violent, sporadic, samurai sword massacre in & around your delicates. ",uncategorized,,[],[],,
a ninja is cutting apart my insides ,uncategorized,,[],[],,
a swarm of angry european wasps invade your uterus,uncategorized,,[],['affective'],affective,
my uterus and other pelvic organs are trying to claw their way out.  ,uncategorized,,[],[],,
Sometimes using a white hot poker. ,sensory,,[],['sensory'],sensory,
Uterus will feel heavy,uncategorized,,[],[],,
you peeled a grape and the remaining flesh is painful,uncategorized,,[],['sensory'],sensory,
waves of cramp,uncategorized,,[],[],,
my internal organs have been pulverized,uncategorized,,[],[],,
I am in labour but without having a break between contractions,uncategorized,,[],[],,
my organs are going to fall out of my vagina,uncategorized,,[],[],,
something is bursting to get out.,uncategorized,,[],['sensory'],sensory,
someone has stabbed me in the stomach,uncategorized,,[],['sensory'],sensory,high
my insides are being rung out,uncategorized,,[],[],,
my insides are twisting ,uncategorized,,[],['sensory'],sensory,
when I walk then ripping inside me,uncategorized,,[],[],,
Insides falling out ,uncategorized,,[],[],,
while on fire ,metaphorical,,[],['sensory'],sensory,
with acid.,uncategorized,,[],[],,
someone is just slowly sinking burning things into me,sensory,,[],['sensory'],sensory,high
and twisting them around and around. ,uncategorized,,[],['sensory'],sensory,
" I'm carrying knives in my uterus, and if I bend over I'm stabbed deeper",uncategorized,,[],['sensory'],sensory,high
there's a demon inside trying to claw it's way out.,uncategorized,,[],[],,
a stitch I got years ago. ,uncategorized,,[],[],,
lots of needles cramping up inside of my pelvis,sensory,,[],[],,
somebody is pulling your pelvic down so strongly,uncategorized,,[],[],,
sharp knives or ,sensory,,[],[],,medium
an electric shock playing in the pelvic area.,sensory,,[],[],,
"Glass shards,",uncategorized,,[],[],,
 electric shocks,sensory,,[],[],,
someone is twisting my insides and won't let their grip go. ,metaphorical,,[],['sensory'],sensory,
It's a warm feeling the spreads throughout the back and abdomen.,uncategorized,,[],[],,
someone is ripping my insides out ,uncategorized,,[],[],,
with barbwire ,uncategorized,,[],[],,
a pressure or soreness with stabs of pain in the uterus area. ,sensory,,[],['sensory'],sensory,high
something is shuddering inside,uncategorized,,[],[],,
someone has shoved a sword or a poker into me jabbing away. ,uncategorized,,[],[],,
when a cat steps on your full bladder but heavier and you don't need a wee.,uncategorized,,[],[],,
an elephant is sitting on my abdomen sometimes,uncategorized,,[],[],,
"a toxic, flesh-eating pufferfish ",uncategorized,,[],[],,
"pulsating inside me,",uncategorized,,[],[],,
 scraping away at me. ,sensory,,[],[],,
an army of molten spiders are strolling around ,uncategorized,,[],[],,
an army of molten spiders are strolling around ,uncategorized,,[],[],,
an army of molten spiders are strolling around ,uncategorized,,[],[],,
 with flame torches closely examining the damage on the walls of my womb.,uncategorized,,[],[],,
labor ,uncategorized,,[],[],,
being stabbed repeatedly.,uncategorized,,[],['sensory'],sensory,high
being crushed.,uncategorized,,[],['sensory'],sensory,high
someone has a hold of your pelvis/cervix and are pulling really hard.,uncategorized,,[],[],,
"I'm being stabbed,",uncategorized,,[],['sensory'],sensory,high
 ripped apart,uncategorized,,[],[],,
 punched all at once. ,uncategorized,,[],[],,
It burns like the skin is being pulled away.,uncategorized,,[],['sensory'],sensory,
someone is stabbing me. ,sensory,,[],['sensory'],sensory,high
someone is pushing down hard and not letting up.  ,uncategorized,,[],[],,
someone stabbing me repeatedly ,sensory,,[],['sensory'],sensory,high
someone is squeezing my muscles and nerves and not letting go. ,sensory,,[],[],,
my insides are being ripped apart,uncategorized,,[],[],,
"a bolt of lightning, shoots up my spine when trying to pass bowel movements",uncategorized,,[],['sensory'],sensory,low
when a car I'm in goes over a bump (or even just a non-paved road). ,uncategorized,,[],[],,
someone with red hot pokers for fingers,sensory,,[],['sensory'],sensory,
 dug into my lower abdomen and ,uncategorized,,[],[],,
 is trying to pull my insides out through my vagina.,uncategorized,,[],[],,
"I'm being cut, over and over again in my stomach ",uncategorized,,[],[],,
I have loads of gnawing teeth inside trying to eat there way out. ,sensory,,[],[],,
I am about to give birth to my internal organs.,uncategorized,,[],[],,
something has burst and,uncategorized,,[],[],,
 it's destroying everything,uncategorized,,[],[],,
 as it spreads,uncategorized,,[],[],,
someone's slowly trying to rip my organs out,uncategorized,,[],[],,
my insides are wrapped in red-hot,sensory,,[],['sensory'],sensory,
 barbed wire. ,uncategorized,,[],[],,
I'm being stabbed in the stomach ,uncategorized,,[],['sensory'],sensory,high
or someone is grabbing my insides,uncategorized,,[],[],,
red hot pokers inside my tummy ,sensory,,[],['sensory'],sensory,
being twisted constantly ,uncategorized,,[],['temporal'],temporal,
"I did a million crunches, ",uncategorized,,[],[],,
and like i haven't slept for days ,uncategorized,,[],[],,
"Everything feels angry, ",uncategorized,,[],['affective'],affective,
and on fire. ,metaphorical,,[],['sensory'],sensory,
Like barbed wire.,uncategorized,,[],[],,
there's an alien trying to get out of me.   ,uncategorized,,[],[],,
a skewer ,uncategorized,,[],[],,
has been pushed inside of me ,uncategorized,,[],[],,
"and speared through my ovaries, uterus etc. ",uncategorized,,[],[],,
being tattooed on the inside.,uncategorized,,[],[],,
Some scratching my insides,uncategorized,,[],[],,
a knife was piercing it.,"sensory, metaphorical",,[],[],,
being stabbed with safety scissors from the inside ,uncategorized,,[],['sensory'],sensory,high
you just ran a marathon and need to lie down. ,uncategorized,,[],[],,
Sometimes it feels like a hot poker ,sensory,,[],['sensory'],sensory,
or barbed wire is inside,uncategorized,,[],[],,
a charly horse ,uncategorized,,[],[],,
an elephant is sitting on my back or stomach,uncategorized,,[],[],,
I'm pregnant. ,uncategorized,,[],[],,
a wash cloth being rung out over and over again,uncategorized,,[],[],,
a hot poker ,sensory,,[],['sensory'],sensory,
is being drilled through me. ,uncategorized,,[],[],,
a sharp rod is being forced into my rectum. ,sensory,,[],[],,medium
I'm being turned inside out. ,uncategorized,,[],[],,
something inside will burst/rupture. ,uncategorized,,[],[],,
my pelvic area is always heavy.,temporal,,[],['temporal'],temporal,
blisters  ,uncategorized,,[],[],,
