Unnamed: 0,feels like…,category,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
SOCIAL MEDIA,a ninja is cutting apart my insides ,uncategorized,,[],[],,
SOCIAL MEDIA,a swarm of angry european wasps invade your uterus,uncategorized,,[],['affective'],affective,
SURVEY,my uterus and other pelvic organs are trying to claw their way out.  ,uncategorized,,[],[],,
SURVEY,Sometimes using a white hot poker. ,sensory,,[],['sensory'],sensory,
SURVEY,Uterus will feel heavy,uncategorized,,[],[],,
SURVEY,you peeled a grape and the remaining flesh is painful,uncategorized,,[],['sensory'],sensory,
SURVEY,waves of cramp,uncategorized,,[],[],,
SURVEY,my internal organs have been pulverized,uncategorized,,[],[],,
SURVEY,I am in labour but without having a break between contractions,uncategorized,,[],[],,
SURVEY,my organs are going to fall out of my vagina,uncategorized,,[],[],,
SURVEY,something is bursting to get out.,uncategorized,,[],['sensory'],sensory,
SURVEY,someone has stabbed me in the stomach,uncategorized,,[],['sensory'],sensory,high
SURVEY,my insides are being rung out,uncategorized,,[],[],,
SURVEY,my insides are twisting ,uncategorized,,[],['sensory'],sensory,
SURVEY,when I walk then ripping inside me,uncategorized,,[],[],,
SURVEY,Insides falling out ,uncategorized,,[],[],,
SURVEY,while on fire ,metaphorical,,[],['sensory'],sensory,
SURVEY,with acid.,uncategorized,,[],[],,
SURVEY,someone is just slowly sinking burning things into me,sensory,,[],['sensory'],sensory,high
SURVEY,and twisting them around and around. ,uncategorized,,[],['sensory'],sensory,
SURVEY," I'm carrying knives in my uterus, and if I bend over I'm stabbed deeper",uncategorized,,[],['sensory'],sensory,high
SURVEY,there's a demon inside trying to claw it's way out.,uncategorized,,[],[],,
SURVEY,a stitch I got years ago. ,uncategorized,,[],[],,
SURVEY,lots of needles cramping up inside of my pelvis,sensory,,[],[],,
SURVEY,somebody is pulling your pelvic down so strongly,uncategorized,,[],[],,
SURVEY,sharp knives or ,sensory,,[],[],,medium
SURVEY,an electric shock playing in the pelvic area.,sensory,,[],[],,
SURVEY,"Glass shards,",uncategorized,,[],[],,
SURVEY, electric shocks,sensory,,[],[],,
SURVEY,someone is twisting my insides and won't let their grip go. ,metaphorical,,[],['sensory'],sensory,
SURVEY,It's a warm feeling the spreads throughout the back and abdomen.,uncategorized,,[],[],,
SURVEY,someone is ripping my insides out ,uncategorized,,[],[],,
SURVEY,with barbwire ,uncategorized,,[],[],,
SURVEY,a pressure or soreness with stabs of pain in the uterus area. ,sensory,,[],['sensory'],sensory,high
SURVEY,something is shuddering inside,uncategorized,,[],[],,
SURVEY,someone has shoved a sword or a poker into me jabbing away. ,uncategorized,,[],[],,
SURVEY,when a cat steps on your full bladder but heavier and you don't need a wee.,uncategorized,,[],[],,
SURVEY,an elephant is sitting on my abdomen sometimes,uncategorized,,[],[],,
SURVEY,"a toxic, flesh-eating pufferfish ",uncategorized,,[],[],,
SURVEY,"pulsating inside me,",uncategorized,,[],[],,
SURVEY, scraping away at me. ,sensory,,[],[],,
SURVEY,an army of molten spiders are strolling around ,uncategorized,,[],[],,
SURVEY,an army of molten spiders are strolling around ,uncategorized,,[],[],,
SURVEY,an army of molten spiders are strolling around ,uncategorized,,[],[],,
SURVEY, with flame torches closely examining the damage on the walls of my womb.,uncategorized,,[],[],,
SURVEY,labor ,uncategorized,,[],[],,
SURVEY,being stabbed repeatedly.,uncategorized,,[],['sensory'],sensory,high
SURVEY,being crushed.,uncategorized,,[],['sensory'],sensory,high
SURVEY,someone has a hold of your pelvis/cervix and are pulling really hard.,uncategorized,,[],[],,
SURVEY,"I'm being stabbed,",uncategorized,,[],['sensory'],sensory,high
SURVEY, ripped apart,uncategorized,,[],[],,
SURVEY, punched all at once. ,uncategorized,,[],[],,
SURVEY,It burns like the skin is being pulled away.,uncategorized,,[],['sensory'],sensory,
SURVEY,someone is stabbing me. ,sensory,,[],['sensory'],sensory,high
SURVEY,someone is pushing down hard and not letting up.  ,uncategorized,,[],[],,
SURVEY,someone stabbing me repeatedly ,sensory,,[],['sensory'],sensory,high
SURVEY,someone is squeezing my muscles and nerves and not letting go. ,sensory,,[],[],,
SURVEY,my insides are being ripped apart,uncategorized,,[],[],,
SURVEY,"a bolt of lightning, shoots up my spine when trying to pass bowel movements",uncategorized,,[],['sensory'],sensory,low
SURVEY,when a car I'm in goes over a bump (or even just a non-paved road). ,uncategorized,,[],[],,
SURVEY,someone with red hot pokers for fingers,sensory,,[],['sensory'],sensory,
SURVEY, dug into my lower abdomen and ,uncategorized,,[],[],,
SURVEY, is trying to pull my insides out through my vagina.,uncategorized,,[],[],,
SURVEY,"I'm being cut, over and over again in my stomach ",uncategorized,,[],[],,
SURVEY,I have loads of gnawing teeth inside trying to eat there way out. ,sensory,,[],[],,
SURVEY,I am about to give birth to my internal organs.,uncategorized,,[],[],,
SURVEY,something has burst and,uncategorized,,[],[],,
SURVEY, it's destroying everything,uncategorized,,[],[],,
SURVEY, as it spreads,uncategorized,,[],[],,
SURVEY,someone's slowly trying to rip my organs out,uncategorized,,[],[],,
SURVEY,my insides are wrapped in red-hot,sensory,,[],['sensory'],sensory,
SURVEY, barbed wire. ,uncategorized,,[],[],,
SURVEY,I'm being stabbed in the stomach ,uncategorized,,[],['sensory'],sensory,high
SURVEY,or someone is grabbing my insides,uncategorized,,[],[],,
SURVEY,red hot pokers inside my tummy ,sensory,,[],['sensory'],sensory,
SURVEY,being twisted constantly ,uncategorized,,[],['temporal'],temporal,
SURVEY,"I did a million crunches, ",uncategorized,,[],[],,
SURVEY,and like i haven't slept for days ,uncategorized,,[],[],,
SURVEY,"Everything feels angry, ",uncategorized,,[],['affective'],affective,
SURVEY,and on fire. ,metaphorical,,[],['sensory'],sensory,
SURVEY,Like barbed wire.,uncategorized,,[],[],,
SURVEY,there's an alien trying to get out of me.   ,uncategorized,,[],[],,
SURVEY,a skewer ,uncategorized,,[],[],,
SURVEY,has been pushed inside of me ,uncategorized,,[],[],,
SURVEY,"and speared through my ovaries, uterus etc. ",uncategorized,,[],[],,
SURVEY,being tattooed on the inside.,uncategorized,,[],[],,
SURVEY,Some scratching my insides,uncategorized,,[],[],,
SURVEY,a knife was piercing it.,"sensory, metaphorical",,[],[],,
SURVEY,being stabbed with safety scissors from the inside ,uncategorized,,[],['sensory'],sensory,high
SURVEY,you just ran a marathon and need to lie down. ,uncategorized,,[],[],,
SURVEY,Sometimes it feels like a hot poker ,sensory,,[],['sensory'],sensory,
SURVEY,or barbed wire is inside,uncategorized,,[],[],,
SURVEY,a charly horse ,uncategorized,,[],[],,
SURVEY,an elephant is sitting on my back or stomach,uncategorized,,[],[],,
SURVEY,I'm pregnant. ,uncategorized,,[],[],,
SURVEY,a wash cloth being rung out over and over again,uncategorized,,[],[],,
SURVEY,a hot poker ,sensory,,[],['sensory'],sensory,
SURVEY,is being drilled through me. ,uncategorized,,[],[],,
SURVEY,a sharp rod is being forced into my rectum. ,sensory,,[],[],,medium
SURVEY,I'm being turned inside out. ,uncategorized,,[],[],,
SURVEY,something inside will burst/rupture. ,uncategorized,,[],[],,
SURVEY,my pelvic area is always heavy.,temporal,,[],['temporal'],temporal,
SURVEY,blisters  ,uncategorized,,[],[],,
SURVEY,Braxton Hicks contractions,uncategorized,,[],[],,
SURVEY,all over body pain when inflamed,uncategorized,,[],['sensory'],sensory,
SURVEY,my lower back and stomach is trying to break free from the rest of my body,uncategorized,,[],[],,
SURVEY,being stabbed with a rusty ice pick,metaphorical,,[],['sensory'],sensory,high
SURVEY,my intestines were being tugged out of my anus when I had my period ,uncategorized,,[],[],,
SURVEY,Freddy kugker playing hockey in my stomach. ,uncategorized,,[],[],,
SURVEY,hockey in my stomach. ,uncategorized,,[],[],,
SURVEY,I'm trying to give birth to my spine ,uncategorized,,[],[],,
SURVEY,my insides are battling between themselves ,uncategorized,,[],[],,
SURVEY,using sharp tools. ,sensory,,[],[],,medium
SURVEY,somebody is strangling my womb,uncategorized,,[],[],,
SURVEY,"I become possessed by pain, like I am someone else that takes possession of my usual self",uncategorized,,[],['sensory'],sensory,
SURVEY,I am outside my body and my consciousness ,uncategorized,,[],[],,
SURVEY,my uterus/bowel is being squeezed inside a Panini press. ,uncategorized,,[],[],,
SURVEY, And sometimes it feels like the panini press have spikes attached,uncategorized,,[],[],,
SURVEY,someone slowly stretching me apart some days,uncategorized,,[],[],,
SURVEY,everything is dragging ,uncategorized,,[],[],,
SURVEY,and going to fall out of me. ,uncategorized,,[],[],,
SURVEY,my ovaries are at war with each other ,uncategorized,,[],[],,
SURVEY,Barbed wire and,uncategorized,,[],[],,
SURVEY,a red hot poker up inside.,sensory,,[],['sensory'],sensory,
SURVEY,someone is smashing me with a hammer and glass,metaphorical,,[],[],,
SURVEY, and glass,uncategorized,,[],[],,
SURVEY,someone is stabbing me in the vagina ,sensory,,[],['sensory'],sensory,high
SURVEY,with a hot poker. ,sensory,,[],['sensory'],sensory,
